name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
TCS,3.7,(85k),IT Services & Consulting | Mumbai +373 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,(53.1k),IT Services & Consulting | Dublin +193 other locations,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Wipro,3.7,(50.5k),IT Services & Consulting | Bangalore/Bengaluru +338 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cognizant,3.8,(47.6k),IT Services & Consulting | Teaneck. New Jersey. +190 other locations,,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,(39.3k),IT Services & Consulting | Paris +155 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,(37.8k),Banking | Mumbai +1621 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Bank,4.0,(36.9k),Banking | Mumbai +1328 other locations,"Job Security, Skill Development / Learning, Company Culture",
Infosys,3.7,(36.8k),IT Services & Consulting | Bengaluru/Bangalore +196 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HCLTech,3.5,(34k),IT Services & Consulting | Noida +198 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,(33.4k),IT Services & Consulting | Pune +285 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,(30k),IT Services & Consulting | New York +133 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,(27.6k),BPO | Paris +205 other locations,"Skill Development / Learning, Company Culture, Job Security",
Concentrix Corporation,3.8,(25.2k),BPO | Fremont +138 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,(24.3k),Banking | Mumbai +1354 other locations,,Promotions / Appraisal
Amazon,4.1,(24.1k),Internet | Seattle +458 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Jio,3.9,(21.8k),Navi Mumbai +1202 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,(21.4k),Retail | Ghansoli +1041 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,4.1,(21.2k),IT Services & Consulting | Armonk +154 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
iEnergizer,4.7,(21.1k),BPO | Noida +38 other locations,"Skill Development / Learning, Company Culture, Job Security",
LTIMindtree,3.9,(19.9k),IT Services & Consulting | Bankura +124 other locations,"Work Life Balance, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
HDB Financial Services,4.0,(19.6k),NBFC | Ahmedabad +987 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Larsen & Toubro Limited,4.0,(17.9k),Engineering & Construction | Mumbai +650 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Deloitte,3.8,(16.9k),Management Consulting | London +157 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
BYJU'S,3.1,(16k),EdTech | Bangalore +310 other locations,,"Job Security, Work Life Balance, Company Culture"
Kotak Mahindra Bank,3.8,(15.8k),Banking | Mumbai +605 other locations,Job Security,Promotions / Appraisal
Reliance Industries,4.1,(15.2k),Oil & Gas | Navi Mumbai +721 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Vodafone Idea,4.1,(15k),Telecom | Mumbai +657 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Bharti Airtel,4.0,(13.2k),Telecom | Gurgaon/Gurugram +696 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
Tata Motors,4.2,(11.5k),Automobile | Pune +462 other locations,"Job Security, Skill Development / Learning, Company Culture",
AU Small Finance Bank,4.3,(11.2k),Banking | Jaipur +690 other locations,"Skill Development / Learning, Job Security, Company Culture",
WNS,3.4,(10.6k),BPO | Mumbai +43 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Flipkart,4.0,(10.4k),Internet | Bangalore +523 other locations,"Skill Development / Learning, Company Culture, Job Security",
IndusInd Bank,3.6,(10.3k),Banking | Gurgaon/Gurugram +716 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.5,(10.1k),Management Consulting | London +110 other locations,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
IDFC FIRST Bank,4.0,(9.8k),Banking | Mumbai +616 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
DXC Technology,3.7,(9.6k),IT Services & Consulting | Minato +101 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Mahindra & Mahindra,4.1,(9.5k),Automobile | Mumbai +501 other locations,"Job Security, Skill Development / Learning, Company Culture",
Infosys BPM,3.7,(9.2k),BPO | Bangalore/Bengaluru +76 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Bajaj Finserv,4.0,(8.8k),Financial Services | Pune +973 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
HDFC Life,4.0,(8.6k),Insurance | Mumbai +598 other locations,"Skill Development / Learning, Job Security, Company Culture",
PwC,3.4,(8.6k),Management Consulting | London +106 other locations,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Conneqt Business Solutions,3.7,(8.5k),BPO | Mumbai +238 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,3.4,(7.8k),IT Services & Consulting | Bangalore/Bengaluru +53 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,3.8,(7.3k),Banking | Mumbai +473 other locations,,
Maruti Suzuki,4.2,(7.2k),Automobile | New Delhi +393 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
Startek,3.2,(7.1k),Mumbai +73 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bandhan Bank,3.7,(7.1k),Banking | Kolkata +835 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
Paytm,3.3,(7.1k),FinTech | Noida +342 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Asian Paints,4.0,(7.1k),Chemicals | Mumbai +467 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
Samsung,4.0,(7k),Consumer Electronics & Appliances | Seoul +529 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Ericsson,4.2,(6.9k),Telecom | Stockholm +150 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Quess,3.9,(6.9k),BPO | Bangalore +606 other locations,,Promotions / Appraisal
Shriram Finance,4.1,(6.8k),NBFC | Mumbai +993 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Tata Steel,4.1,(6.8k),Iron & Steel | Mumbai +194 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
HGS,3.9,(6.8k),BPO | Bangalore/Bengaluru +108 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
EXL Service,3.7,(6.7k),Analytics & KPO | New York City +49 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Muthoot Fincorp,4.5,(6.7k),NBFC | Trivandrum/Thiruvananthapuram +830 other locations,"Skill Development / Learning, Company Culture, Job Security",
UltraTech Cement,4.2,(6.6k),Building Material | Mumbai +449 other locations,"Job Security, Skill Development / Learning, Company Culture",
Cipla,4.1,(6.6k),Pharma | Mumbai +254 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
NTT Data Information Processing Services,4.0,(2.7k),IT Services & Consulting | Chiyoda City +61 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Dr. Reddy's,4.1,(6.5k),Pharma | Hyderabad / Secunderabad +179 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Sutherland Global Services,3.7,(6.5k),IT Services & Consulting | Mumbai +61 other locations,,"Promotions / Appraisal, Salary & Benefits"
Bajaj Finance,4.0,(6.3k),NBFC | Pune +819 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
Wells Fargo,3.9,(6k),Financial Services | San Francisco +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ICICI Prudential Life Insurance,4.1,(6k),Insurance | Mumbai +469 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Amazon Development Centre India,4.1,(5.9k),Internet | Cherthala +96 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Jana Small Finance Bank,3.8,(5.9k),Banking | Bangalore/Bengaluru +368 other locations,,
Equitas Small Finance Bank,4.5,(5.9k),Banking | Chennai +416 other locations,"Job Security, Company Culture, Work Life Balance",
Lupin,4.2,(5.8k),Pharma | Mumbai +177 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Delhivery,3.9,(5.8k),Logistics | Delhi +660 other locations,Skill Development / Learning,Promotions / Appraisal
Zydus Lifesciences,4.1,(5.8k),Pharma | Ahmedabad +157 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
JPMorgan Chase & Co.,4.1,(5.8k),Financial Services | New York +37 other locations,"Job Security, Company Culture, Skill Development / Learning",
L&T Construction,4.0,(5.7k),Engineering & Construction | Chennai +371 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
Sun Pharmaceutical Industries,4.1,(5.6k),Pharma | Mumbai +218 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Hexaware Technologies,3.6,(5.5k),IT Services & Consulting | Navi Mumbai +54 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JSW Steel,3.9,(5.4k),Iron & Steel | Mumbai +154 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ITC,4.0,(5.4k),FMCG | Kolkata +328 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
FIS,3.9,(5.4k),FinTech | Jacksonville +49 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HCL Group,3.7,(5.3k),IT Services & Consulting | Pipariya +81 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Indian Army,4.7,(5.3k),Defence & Aerospace | New Delhi +339 other locations,"Job Security, Company Culture, Skill Development / Learning",
Hindustan Unilever,4.2,(5.3k),FMCG | London +459 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
KPMG India,3.5,(5.2k),Management Consulting | Lagos +91 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Max Life Insurance,4.1,(5.1k),Insurance | Gurgaon/Gurugram +426 other locations,"Skill Development / Learning, Company Culture, Job Security",
Ujjivan Small Finance Bank,4.1,(5.1k),Banking | Bangalore/Bengaluru +466 other locations,"Company Culture, Job Security, Skill Development / Learning",
IIFL Finance,4.0,(5.1k),NBFC | Mumbai +718 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
Oracle,3.7,(5k),Emerging Technologies | Austin +51 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Udaan,4.0,(5k),Internet | Bangalore +343 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Tata Projects,4.3,(4.9k),Engineering & Construction | Mumbai +249 other locations,"Job Security, Company Culture, Salary & Benefits",
Ekart Logistics,4.0,(4.8k),San Francisco +651 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Megha Engineering & Infrastructures,3.9,(4.8k),Engineering & Construction | Hyderabad/Secunderabad +327 other locations,Job Security,Promotions / Appraisal
Muthoot Finance,3.6,(4.8k),NBFC | Kochi/Cochin +683 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
eClerx,3.4,(4.7k),IT Services & Consulting | Mumbai +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,(4.7k),BPO | Boca Raton +56 other locations,,"Promotions / Appraisal, Salary & Benefits"
Aurobindo Pharma,4.0,(4.6k),Pharma | Hyderabad/Secunderabad +96 other locations,"Job Security, Salary & Benefits, Work Life Balance",
JLL,4.1,(4.6k),Real Estate | Mumbai +72 other locations,"Job Security, Skill Development / Learning, Company Culture",
Bajaj Allianz Life Insurance,4.0,(4.6k),Insurance | Kochi +534 other locations,"Salary & Benefits, Work Life Balance, Job Security",
Siemens,4.1,(4.5k),Industrial Automation | Munich +139 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Shapoorji Pallonji Group,4.2,(4.5k),Engineering & Construction | Mumbai +178 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Coforge,3.4,(4.5k),IT Services & Consulting | Noida +92 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HSBC Group,4.0,(4.5k),Financial Services | Pune +53 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
